iter	RMSE
0	429854.2826
1	409906.3641
2	388831.4387
3	371033.8456
4	355649.0429
5	340521.7579
6	327505.3176
7	315379.3173
8	303382.1732
9	294166.7931
10	285205.6676
11	277182.9097
12	269443.9752
13	261975.1276
14	254302.448
15	248751.5047
16	242597.2621
17	236886.0749
18	230988.2249
19	226048.2675
20	221932.2822
21	216721.831
22	213162.5293
23	209606.9597
24	206020.4572
25	202481.0909
26	199902.7195
27	196569.1446
28	193768.1966
29	191577.3763
30	189252.446
31	187099.8484
32	184554.631
33	182626.1348
34	180261.4336
35	178403.9097
36	176699.1314
37	174803.7719
38	172856.5877
39	171139.6908
40	170179.0445
41	168837.6844
42	167088.1273
43	166231.422
44	164986.2755
45	163661.828
46	163437.2818
47	162248.0111
48	161750.882
49	161573.0332
50	160459.9742
51	159750.6228
52	158664.0821
53	157342.3208
54	156085.9792
55	155003.9147
56	154208.6311
57	152999.5702
58	152710.3738
59	151372.9195
60	150279.7775
61	149745.9931
62	149457.1314
63	148370.2131
64	147146.5212
65	146837.9203
66	146196.9787
67	145346.3201
68	145139.051
69	144384.9511
70	143413.9392
71	142450.6264
72	141647.3195
73	141388.1933
74	141091.2916
75	140193.1078
76	139232.9667
77	138141.9926
78	137175.948
79	136911.6339
80	136673.8376
81	135558.7368
82	134799.2999
83	133813.8375
84	132791.144
85	131755.1633
86	130890.4668
87	129572.9727
88	129315.7626
89	128410.4512
90	127531.9742
91	127100.0955
92	126875.3299
93	125986.2071
94	125075.3041
95	123864.5325
96	123099.5987
97	122303.4679
98	121480.4078
99	121246.3136
