iter	Passed	Remaining
0	50	5045
1	78	3838
2	127	4129
3	178	4292
4	228	4336
5	278	4363
6	328	4366
7	377	4345
8	426	4315
9	475	4277
10	523	4236
11	573	4207
12	623	4173
13	672	4128
14	718	4074
15	767	4028
16	816	3984
17	867	3950
18	917	3909
19	966	3867
20	1017	3826
21	1066	3780
22	1115	3735
23	1163	3683
24	1214	3644
25	1268	3609
26	1325	3583
27	1380	3549
28	1436	3516
29	1488	3474
30	1545	3441
31	1603	3407
32	1661	3373
33	1711	3323
34	1761	3271
35	1811	3220
36	1863	3172
37	1911	3118
38	1961	3067
39	2012	3019
40	2067	2974
41	2119	2926
42	2171	2877
43	2221	2826
44	2271	2776
45	2320	2723
46	2371	2674
47	2420	2622
48	2472	2572
49	2520	2520
50	2572	2471
51	2623	2421
52	2675	2372
53	2728	2324
54	2777	2272
55	2832	2225
56	2884	2176
57	2937	2127
58	2991	2078
59	3046	2030
60	3105	1985
61	3158	1935
62	3211	1886
63	3265	1836
64	3317	1786
65	3368	1735
66	3419	1684
67	3468	1632
68	3518	1580
69	3565	1527
70	3612	1475
71	3660	1423
72	3708	1371
73	3755	1319
74	3802	1267
75	3848	1215
76	3903	1166
77	3997	1127
78	4050	1076
79	4102	1025
80	4150	973
81	4205	923
82	4250	870
83	4303	819
84	4357	768
85	4408	717
86	4449	664
87	4497	613
88	4558	563
89	4604	511
90	4646	459
91	4688	407
92	4731	356
93	4778	305
94	4823	253
95	4869	202
96	4918	152
97	4961	101
98	5009	50
99	5059	0
